,Player,Salary
1,Stephen Curry,"$40,231,758"
2,Russell Westbrook,"$38,506,482"
2,Chris Paul,"$38,506,482"
4,James Harden,"$38,199,000"
4,John Wall,"$38,199,000"
6,LeBron James,"$37,436,858"
7,Kevin Durant,"$37,199,000"
8,Blake Griffin,"$34,449,964"
9,Kyle Lowry,"$33,296,296"
10,Paul George,"$33,005,556"
11,Kemba Walker,"$32,742,000"
11,Klay Thompson,"$32,742,000"
11,Kawhi Leonard,"$32,742,000"
11,Jimmy Butler,"$32,742,000"
11,Tobias Harris,"$32,742,000"
16,Gordon Hayward,"$32,700,690"
17,Mike Conley,"$32,511,623"
18,Kyrie Irving,"$31,742,000"
19,Khris Middleton,"$30,603,448"
20,Paul Millsap,"$30,350,000"
21,Damian Lillard,"$29,802,321"
22,Kevin Love,"$28,942,830"
23,Nikola Vucevic,"$28,000,000"
23,Al Horford,"$28,000,000"
25,DeMar DeRozan,"$27,739,975"
26,CJ McCollum,"$27,556,959"
27,Nikola Jokic,"$27,504,630"
27,Andrew Wiggins,"$27,504,630"
27,Joel Embiid,"$27,504,630"
30,Kristaps Porzingis,"$27,285,000"
30,D'Angelo Russell,"$27,285,000"
30,Karl-Anthony Towns,"$27,285,000"
30,Devin Booker,"$27,285,000"
34,Otto Porter,"$27,250,576"
35,Anthony Davis,"$27,093,019"
36,Andre Drummond,"$27,093,018"
36,Hassan Whiteside,"$27,093,018"
36,Bradley Beal,"$27,093,018"
39,Jrue Holiday,"$26,131,111"
40,LaMarcus Aldridge,"$26,000,000"
41,Giannis Antetokounmpo,"$25,842,697"
41,Steven Adams,"$25,842,697"
43,Marc Gasol,"$25,595,700"
44,Nicolas Batum,"$25,565,217"
45,Rudy Gobert,"$25,258,427"
46,Chandler Parsons,"$25,102,512"
47,Harrison Barnes,"$24,147,727"
48,Serge Ibaka,"$23,271,604"
49,Danilo Gallinari,"$22,615,559"
50,Victor Oladipo,"$21,000,000"
51,Tim Hardaway Jr,"$20,025,127"
52,Malcolm Brogdon,"$20,000,000"
53,Terry Rozier,"$19,894,737"
54,Aaron Gordon,"$19,863,636"
55,Zach LaVine,"$19,500,000"
56,Kent Bazemore,"$19,269,663"
57,Goran Dragic,"$19,217,900"
58,Jeff Teague,"$19,000,000"
59,Evan Turner,"$18,606,556"
60,Tristan Thompson,"$18,539,130"
60,Draymond Green,"$18,539,130"
62,Gary Harris,"$18,189,286"
63,Myles Turner,"$18,000,000"
